model_type,config_id,config_params,fold,accuracy,notes
RF,9,"{'n_estimators': 300, 'max_depth': 15, 'criterion': 'gini', 'min_samples_leaf': 3}",3,0.5207100591715976,
RF,9,"{'n_estimators': 300, 'max_depth': 15, 'criterion': 'gini', 'min_samples_leaf': 3}",4,0.4898989898989899,
RF,9,"{'n_estimators': 300, 'max_depth': 15, 'criterion': 'gini', 'min_samples_leaf': 3}",5,0.3651226158038147,
FCNN,0,"{'hidden_units': [64, 32], 'activation': 'tanh', 'dropout_rate': 0.5, 'l2_reg': 0.0001, 'learning_rate': 0.001, 'epochs': 100, 'batch_size': 32, 'use_batch_norm': True, 'use_early_stopping': True, 'patience': 10}",1,0.44565218687057495,
FCNN,0,"{'hidden_units': [64, 32], 'activation': 'tanh', 'dropout_rate': 0.5, 'l2_reg': 0.0001, 'learning_rate': 0.001, 'epochs': 100, 'batch_size': 32, 'use_batch_norm': True, 'use_early_stopping': True, 'patience': 10}",2,0.5242718458175659,
FCNN,0,"{'hidden_units': [64, 32], 'activation': 'tanh', 'dropout_rate': 0.5, 'l2_reg': 0.0001, 'learning_rate': 0.001, 'epochs': 100, 'batch_size': 32, 'use_batch_norm': True, 'use_early_stopping': True, 'patience': 10}",3,0.6035503149032593,
FCNN,0,"{'hidden_units': [64, 32], 'activation': 'tanh', 'dropout_rate': 0.5, 'l2_reg': 0.0001, 'learning_rate': 0.001, 'epochs': 100, 'batch_size': 32, 'use_batch_norm': True, 'use_early_stopping': True, 'patience': 10}",4,0.4848484992980957,
FCNN,0,"{'hidden_units': [64, 32], 'activation': 'tanh', 'dropout_rate': 0.5, 'l2_reg': 0.0001, 'learning_rate': 0.001, 'epochs': 100, 'batch_size': 32, 'use_batch_norm': True, 'use_early_stopping': True, 'patience': 10}",5,0.47138965129852295,
FCNN,1,"{'hidden_units': [128], 'activation': 'tanh', 'dropout_rate': 0.5, 'l2_reg': 0.0001, 'learning_rate': 0.001, 'epochs': 100, 'batch_size': 32, 'use_batch_norm': True, 'use_early_stopping': True, 'patience': 10}",1,0.47826087474823,
FCNN,1,"{'hidden_units': [128], 'activation': 'tanh', 'dropout_rate': 0.5, 'l2_reg': 0.0001, 'learning_rate': 0.001, 'epochs': 100, 'batch_size': 32, 'use_batch_norm': True, 'use_early_stopping': True, 'patience': 10}",2,0.5242718458175659,
FCNN,1,"{'hidden_units': [128], 'activation': 'tanh', 'dropout_rate': 0.5, 'l2_reg': 0.0001, 'learning_rate': 0.001, 'epochs': 100, 'batch_size': 32, 'use_batch_norm': True, 'use_early_stopping': True, 'patience': 10}",3,0.5680473446846008,
FCNN,1,"{'hidden_units': [128], 'activation': 'tanh', 'dropout_rate': 0.5, 'l2_reg': 0.0001, 'learning_rate': 0.001, 'epochs': 100, 'batch_size': 32, 'use_batch_norm': True, 'use_early_stopping': True, 'patience': 10}",4,0.43939393758773804,
FCNN,1,"{'hidden_units': [128], 'activation': 'tanh', 'dropout_rate': 0.5, 'l2_reg': 0.0001, 'learning_rate': 0.001, 'epochs': 100, 'batch_size': 32, 'use_batch_norm': True, 'use_early_stopping': True, 'patience': 10}",5,0.3950953781604767,
FCNN,2,"{'hidden_units': [32, 32], 'activation': 'relu', 'dropout_rate': 0.0, 'l2_reg': 0.0001, 'learning_rate': 0.001, 'epochs': 100, 'batch_size': 32, 'use_batch_norm': True, 'use_early_stopping': True, 'patience': 10}",1,0.54347825050354,
FCNN,2,"{'hidden_units': [32, 32], 'activation': 'relu', 'dropout_rate': 0.0, 'l2_reg': 0.0001, 'learning_rate': 0.001, 'epochs': 100, 'batch_size': 32, 'use_batch_norm': True, 'use_early_stopping': True, 'patience': 10}",2,0.5728155374526978,
FCNN,2,"{'hidden_units': [32, 32], 'activation': 'relu', 'dropout_rate': 0.0, 'l2_reg': 0.0001, 'learning_rate': 0.001, 'epochs': 100, 'batch_size': 32, 'use_batch_norm': True, 'use_early_stopping': True, 'patience': 10}",3,0.5798816680908203,
FCNN,2,"{'hidden_units': [32, 32], 'activation': 'relu', 'dropout_rate': 0.0, 'l2_reg': 0.0001, 'learning_rate': 0.001, 'epochs': 100, 'batch_size': 32, 'use_batch_norm': True, 'use_early_stopping': True, 'patience': 10}",4,0.469696968793869,
FCNN,2,"{'hidden_units': [32, 32], 'activation': 'relu', 'dropout_rate': 0.0, 'l2_reg': 0.0001, 'learning_rate': 0.001, 'epochs': 100, 'batch_size': 32, 'use_batch_norm': True, 'use_early_stopping': True, 'patience': 10}",5,0.5613079071044922,
FCNN,3,"{'hidden_units': [64, 32], 'activation': 'relu', 'dropout_rate': 0.2, 'l2_reg': 0.0001, 'learning_rate': 0.0005, 'epochs': 100, 'batch_size': 32, 'use_batch_norm': True, 'use_early_stopping': True, 'patience': 10}",1,0.54347825050354,
FCNN,3,"{'hidden_units': [64, 32], 'activation': 'relu', 'dropout_rate': 0.2, 'l2_reg': 0.0001, 'learning_rate': 0.0005, 'epochs': 100, 'batch_size': 32, 'use_batch_norm': True, 'use_early_stopping': True, 'patience': 10}",2,0.49514561891555786,
FCNN,3,"{'hidden_units': [64, 32], 'activation': 'relu', 'dropout_rate': 0.2, 'l2_reg': 0.0001, 'learning_rate': 0.0005, 'epochs': 100, 'batch_size': 32, 'use_batch_norm': True, 'use_early_stopping': True, 'patience': 10}",3,0.526627242565155,
FCNN,3,"{'hidden_units': [64, 32], 'activation': 'relu', 'dropout_rate': 0.2, 'l2_reg': 0.0001, 'learning_rate': 0.0005, 'epochs': 100, 'batch_size': 32, 'use_batch_norm': True, 'use_early_stopping': True, 'patience': 10}",4,0.5404040217399597,
FCNN,3,"{'hidden_units': [64, 32], 'activation': 'relu', 'dropout_rate': 0.2, 'l2_reg': 0.0001, 'learning_rate': 0.0005, 'epochs': 100, 'batch_size': 32, 'use_batch_norm': True, 'use_early_stopping': True, 'patience': 10}",5,0.5122615694999695,
FCNN,4,"{'hidden_units': [64], 'activation': 'relu', 'dropout_rate': 0.2, 'l2_reg': 0.0, 'learning_rate': 0.0005, 'epochs': 100, 'batch_size': 32, 'use_batch_norm': True, 'use_early_stopping': True, 'patience': 10}",1,0.532608687877655,
FCNN,4,"{'hidden_units': [64], 'activation': 'relu', 'dropout_rate': 0.2, 'l2_reg': 0.0, 'learning_rate': 0.0005, 'epochs': 100, 'batch_size': 32, 'use_batch_norm': True, 'use_early_stopping': True, 'patience': 10}",2,0.5436893105506897,
FCNN,4,"{'hidden_units': [64], 'activation': 'relu', 'dropout_rate': 0.2, 'l2_reg': 0.0, 'learning_rate': 0.0005, 'epochs': 100, 'batch_size': 32, 'use_batch_norm': True, 'use_early_stopping': True, 'patience': 10}",3,0.6213017702102661,
FCNN,4,"{'hidden_units': [64], 'activation': 'relu', 'dropout_rate': 0.2, 'l2_reg': 0.0, 'learning_rate': 0.0005, 'epochs': 100, 'batch_size': 32, 'use_batch_norm': True, 'use_early_stopping': True, 'patience': 10}",4,0.469696968793869,
